domain,name,affiliation,email,citations,hindex,i10index,profile
cadt.edu.kh,Bonpagna Kann,"Lecturer and Researcher, Cambodia Academy of Digital Technology, MPTC",Verified email at cadt.edu.kh,25,3,1,https://scholar.google.com/citations?hl=en&user=5cNzxOMAAAAJ
cadt.edu.kh,Sonita Te,Unknown affiliation,Verified email at cadt.edu.kh,14,1,1,https://scholar.google.com/citations?hl=en&user=WGfxX9QAAAAJ
cadt.edu.kh,Sotheara Leang,Cambodia Academy of Digital Technology,Verified email at cadt.edu.kh,10,2,0,https://scholar.google.com/citations?hl=en&user=ZpEsL2wAAAAJ
cadt.edu.kh,Saly KEO,Cambodia Academy of Digital Technology (CADT),Verified email at cadt.edu.kh,10,2,0,https://scholar.google.com/citations?hl=en&user=78TuKksAAAAJ
cadt.edu.kh,Rottana Ly,Cambodia Academy of Digital Technology,Verified email at cadt.edu.kh,2,1,0,https://scholar.google.com/citations?hl=en&user=u3Kq9u0AAAAJ
cadt.edu.kh,Phannet Pov,Cambodia Academy of Digital Technology,Verified email at cadt.edu.kh -Homepage,,,,https://scholar.google.com/citations?hl=en&user=IyhoUPwAAAAJ
paragoniu.edu.kh,Pahlaj Moolio,"Paragon International University, Cambodia",Verified email at paragoniu.edu.kh,564,13,15,https://scholar.google.com/citations?hl=en&user=DZKs2uQAAAAJ
paragoniu.edu.kh,Kashif Hasan Khan,"Department of Economics, Paragon International University, Phnom Penh, Cambodia",Verified email at paragoniu.edu.kh -Homepage,437,11,15,https://scholar.google.com/citations?hl=en&user=h5tlO-UAAAAJ
paragoniu.edu.kh,Meirambek Zhaparov,Professor,Verified email at paragoniu.edu.kh -Homepage,359,10,10,https://scholar.google.com/citations?hl=en&user=7ZInV2kAAAAJ
paragoniu.edu.kh,Nurmurat Kandymov,Paragon International University,Verified email at paragoniu.edu.kh,306,7,5,https://scholar.google.com/citations?hl=en&user=8u5nHPoAAAAJ
paragoniu.edu.kh,Ruslan Isaev,"Paragon International University, Faculty of Information and Computer Technologies",Verified email at paragoniu.edu.kh,165,8,5,https://scholar.google.com/citations?hl=en&user=RKnkl-cAAAAJ
paragoniu.edu.kh,"Sok Udom DETH, Ph.D","Professor of International Relations, Paragon International University",Verified email at paragoniu.edu.kh -Homepage,153,8,8,https://scholar.google.com/citations?hl=en&user=BSlBKYwAAAAJ
paragoniu.edu.kh,Mengleang Lay,"Dean of Engineering Faculty, Paragon International University",Verified email at paragoniu.edu.kh,153,1,1,https://scholar.google.com/citations?hl=en&user=rCQasyQAAAAJ
paragoniu.edu.kh,Haksrun Lao,"Lecturer & Academic Affairs Coordinator, Paragon International University, Cambodia",Verified email at paragoniu.edu.kh -Homepage,45,4,3,https://scholar.google.com/citations?hl=en&user=zzyWb6sAAAAJ
paragoniu.edu.kh,Sodiq Akinsanya,Paragon International University,Verified email at paragoniu.edu.kh,34,1,1,https://scholar.google.com/citations?hl=en&user=8opNnfgAAAAJ
paragoniu.edu.kh,Renz E. Ferrera,Paragon International University,Verified email at paragoniu.edu.kh -Homepage,33,3,2,https://scholar.google.com/citations?hl=en&user=Oq6d5ZMAAAAJ
aupp.edu.kh,Dr. Shad Ahmad Khan,American University of Phnom Penh,Verified email at aupp.edu.kh -Homepage,1231,21,44,https://scholar.google.com/citations?hl=en&user=LwILZtsAAAAJ
aupp.edu.kh,DR.P.MUTHUKUMARAN,Associate Professor  & AP Biology  Faculty,Verified email at aupp.edu.kh -Homepage,746,15,20,https://scholar.google.com/citations?hl=en&user=nMaZ1iIAAAAJ
aupp.edu.kh,"Prohim Tam, PhD","Faculty of Digital Technologies, American University of Phnom Penh",Verified email at aupp.edu.kh -Homepage,615,13,16,https://scholar.google.com/citations?hl=en&user=asu3fhUAAAAJ
aupp.edu.kh,Panha Vorng,"Specialisation in Law and Court, University of Cambodia",Verified email at aupp.edu.kh -Homepage,409,10,12,https://scholar.google.com/citations?hl=en&user=FUOTQgQAAAAJ
aupp.edu.kh,Sovannara UK,American University of Phnom Penh,Verified email at aupp.edu.kh,396,10,10,https://scholar.google.com/citations?hl=en&user=PCI8WqUAAAAJ
aupp.edu.kh,DR.P.MUTHUKUMARAN,ASSOCIATE PROFESSOR/ AP SCIENCE TEACHER,Verified email at aupp.edu.kh -Homepage,299,5,5,https://scholar.google.com/citations?hl=en&user=h4Gye54AAAAJ
aupp.edu.kh,Aleksei Gudkov,"Professor, AUPP",Verified email at aupp.edu.kh -Homepage,172,5,4,https://scholar.google.com/citations?hl=en&user=ZiQyStAAAAAJ
aupp.edu.kh,Kuntha Pin,Lecturer and Researcher,Verified email at aupp.edu.kh,170,7,5,https://scholar.google.com/citations?hl=en&user=DThvUc4AAAAJ
