name,affiliation,email,domain,citations_scholar,hindex_scholar,i10_scholar,profile_scholar,orcid,scopus_status,scopus_id,scopus_url,s2_author_id,s2_name,h_index,citation_count,paper_count,metrics_fetched,fix_status,s2_profile_url
Sopharath KHEAV,Master degree student of National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,14.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=6wQQ3I0AAAAJ,0009-0006-1283-6843,found,,,,,,,,,skipped_low_hindex,
Hoeurng Heak,Graduate student of National University of Battambang,Verified email at nubb.edu.kh,nubb.edu.kh,14.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=Sh7l-VQAAAAJ,0009-0007-9745-2183,found,,,,,,,,,skipped_low_hindex,
Sreynget LO,"Lecturer, National University of Battambang",Verified email at nubb.edu.kh,nubb.edu.kh,12.0,3.0,0.0,https://scholar.google.com/citations?hl=en&user=saZveYwAAAAJ,0009-0006-0154-9523,found,58246778400.0,https://www.scopus.com/authid/detail.uri?authorId=58246778400,2189743874.0,Sreynget Lo,2.0,5.0,3.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2189743874.0
sothea rien,"Lecturer, National University of Battambang",Verified email at nubb.edu.kh,nubb.edu.kh,7.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=tBCyNeMAAAAJ,0000-0002-8810-6744,found,,,2321834551,Sothea Rien,1.0,2.0,3.0,,fixed,https://www.semanticscholar.org/author/2321834551
Sek Vimon,National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,6.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=U8oDAM0AAAAJ,0009-0005-0002-7283,found,,,2325595060.0,Vimon Sek,2.0,8.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2325595060.0
sovanna seav,National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,5.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=qheY7h4AAAAJ,0000-0001-7014-6601,found,,,2189796564.0,Sovanna Seav,1.0,3.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2189796564.0
Bonsak Yoeum,National University of Battambang,Verified email at nubb.edu.kh,nubb.edu.kh,4.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=Z-FrlHwAAAAJ,0009-0006-6266-6635,found,,,,,,,,,skipped_low_hindex,
No Sinath,Head of Civil Engineering Department,Verified email at nubb.edu.kh,nubb.edu.kh,4.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=1po82aEAAAAJ,0009-0001-1644-8702,found,60236166700.0,https://www.scopus.com/authid/detail.uri?authorId=60236166700,2372481107.0,Sinath No,1.0,1.0,7.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2372481107.0
KOEM Kim,"Head of Community Dev.,Faculty of Sociology and Rural Development, National University of Battambang",Verified email at nubb.edu.kh,nubb.edu.kh,3.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=XgwAahMAAAAJ,0000-0002-9243-7212,found,57200088470.0,https://www.scopus.com/authid/detail.uri?authorId=57200088470,,,,,,,skipped_low_hindex,
Ratha CHEY,"Vice Dean of Graduate School of National University of Battambang, Cambodia",Verified email at nubb.edu.kh,nubb.edu.kh,3.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=N_TXZZgAAAAJ,0009-0001-7246-6278,found,,,2284013259.0,Ratha Chey,1.0,3.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2284013259.0
Sopheaktra Hien,"Graduate School, National University of Battambang",Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,2.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=-wRXwZUAAAAJ,0009-0002-9490-9970,found,,,,,,,,,skipped_low_hindex,
Vuthea DA,National University of Battambang (NUBB),Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=WdQBzB4AAAAJ,0009-0003-3185-0999,found,,,2382208211.0,Da Vuthea,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2382208211.0
Em Chenda,Professor- Director of French Department,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=CaoiZcMAAAAJ,0009-0007-0524-5911,found,,,,,,,,,skipped_low_hindex,
Rachana Thav,National University of Battambang,Verified email at nubb.edu.kh,nubb.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=nS7YlgwAAAAJ,0009-0001-1321-4492,found,,,2377382119.0,Rachana Thav,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2377382119.0
Sothy Khieng,"President, Cambodia University of Technology and Science",Verified email at camtech.edu.kh - Homepage,camtech.edu.kh,1152.0,14.0,17.0,https://scholar.google.com/citations?hl=en&user=pJO_MbcAAAAJ,0000-0002-4585-5112,found,,,9990361,Sothy Khieng,10.0,458.0,17.0,,fixed,https://www.semanticscholar.org/author/9990361
Monireach Tang,Cambodia University of Technology and Science,Verified email at camtech.edu.kh - Homepage,camtech.edu.kh,234.0,6.0,5.0,https://scholar.google.com/citations?hl=en&user=rNFADsoAAAAJ,0000-0003-1772-7145,found,,,nan,,,,,,no_better_found,
May Thu,Cambodia University of Technology and Science,Verified email at camtech.edu.kh - Homepage,camtech.edu.kh,82.0,5.0,3.0,https://scholar.google.com/citations?hl=en&user=mPuhirYAAAAJ,0000-0001-8831-3690,found,,,4107428,M. Tun,5.0,271.0,9.0,,fixed,https://www.semanticscholar.org/author/4107428
Vatana  Chea,Cambodia University of Technology and Science,Verified email at camtech.edu.kh,camtech.edu.kh,80.0,5.0,2.0,https://scholar.google.com/citations?hl=en&user=oelZ5EgAAAAJ,0000-0003-1894-0888,found,,,1396674177,Vatana Chea,2.0,35.0,10.0,2026-06-07,fixed,https://www.semanticscholar.org/author/1396674177
Nou Chanrachna,"Senior Lecturer and Head of Architecture & Interior Design Department, CamTech University",Verified email at camtech.edu.kh,camtech.edu.kh,10.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=PRuTEq0AAAAJ,0009-0003-9996-5733,found,,,1657720298.0,Chanrachna Nou,1.0,5.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/1657720298.0
Ros Sayumphu,Cambodia University of Science and Technology,Verified email at camtech.edu.kh,camtech.edu.kh,9.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=7f1xbr0AAAAJ,0009-0008-3422-8659,found,,,2312563139.0,Sayumphu Ros,2.0,7.0,6.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2312563139.0
Pakrigna Long,Unknown affiliation,Verified email at camtech.edu.kh,camtech.edu.kh,7.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=5ZbgImMAAAAJ,0009-0004-5896-3114,found,,,2368382936.0,Pakrigna Long,1.0,5.0,4.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2368382936.0
Kimsreng Lim,Cambodia University of Technology and Science,Verified email at camtech.edu.kh,camtech.edu.kh,4.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=Gj_y8BcAAAAJ,0009-0007-3619-0650,found,,,,,,,,,skipped_low_hindex,
Mut Somoeun,Cambodia University of Technology and Science (CamTech),Verified email at camtech.edu.kh - Homepage,camtech.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=aC3sReIAAAAJ,0009-0002-7164-069X,found,,,2227615308.0,Mut Somoeun,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2227615308.0
Sopheak Yeng,"Lecturer of Architecture, CamTech University",Verified email at camtech.edu.kh,camtech.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=VT0UN-EAAAAJ,0009-0007-0267-1149,found,,,,,,,,,skipped_low_hindex,
Cholsa Kosal,Robotics and Automation Student at Cambodia University of Technology and Science,Verified email at camtech.edu.kh,camtech.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=4rcYOPUAAAAJ,0000-0002-6976-4733,found,,,,,,,,,skipped_low_hindex,
Kea Meanhor,"Researcher, CamTech University, Cambodia",Verified email at camtech.edu.kh - Homepage,camtech.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=JWUD77cAAAAJ,0000-0002-9719-5988,found,,,,,,,,,skipped_low_hindex,
Ian Rouse,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,28915.0,51.0,83.0,https://scholar.google.com/citations?hl=en&user=WvX6O7kAAAAJ,0000-0002-3686-7701,found,,,3896321,I. Rouse,34.0,3361.0,64.0,2026-06-07,fixed,https://www.semanticscholar.org/author/3896321
Afeez Abolarinwa Salami,"Cephas Health Research Initiative Inc; Senior Research Fellow, UP, Cambodia",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,17626.0,25.0,34.0,https://scholar.google.com/citations?hl=en&user=tEE6IQUAAAAJ,0000-0002-6388-3803,found,,,2147341892.0,A. Salami,20.0,6462.0,70.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2147341892.0
Siddharthan Selvaraj,"Deputy Dean & Associate Professor - Faculty of Dentistry, University of Puthisastra",Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,15457.0,31.0,58.0,https://scholar.google.com/citations?hl=en&user=RQ1__r4AAAAJ,0000-0002-7776-3335,found,57223264725.0,https://www.scopus.com/authid/detail.uri?authorId=57223264725,2086752950,S. Selvaraj,25.0,8115.0,75.0,2026-06-07,fixed,https://www.semanticscholar.org/author/2086752950
Prof Dr Mohmed Isaqali Karobari,"Associate Dean of International Collaborations at SIMATS, Saveetha University",Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,7756.0,41.0,130.0,https://scholar.google.com/citations?hl=en&user=LdaXOowAAAAJ,0000-0002-0313-9695,found,57203761175.0,https://www.scopus.com/authid/detail.uri?authorId=57203761175,nan,,,,,,no_better_found,
Francesca Cainelli,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,5135.0,30.0,46.0,https://scholar.google.com/citations?hl=en&user=r0MPSyAAAAAJ,0000-0003-1838-3946,found,55919311000.0,https://www.scopus.com/authid/detail.uri?authorId=55919311000,4048387,F. Cainelli,24.0,2941.0,115.0,,fixed,https://www.semanticscholar.org/author/4048387
Anand Marya,"Dean of Dentistry & Program Director of Orthodontics, University of Puthisastra",Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,3783.0,32.0,75.0,https://scholar.google.com/citations?hl=en&user=jWwhIsgAAAAJ,0000-0003-2009-4393,found,57218657104.0,https://www.scopus.com/authid/detail.uri?authorId=57218657104,1391151043,A. Marya,25.0,2085.0,118.0,,fixed,https://www.semanticscholar.org/author/1391151043
Adith Venugopal,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,1676.0,20.0,39.0,https://scholar.google.com/citations?hl=en&user=Ca6gOVYAAAAJ,0000-0002-7945-8799,found,,,1500439590,A. Venugopal,17.0,1054.0,83.0,2026-06-07,fixed,https://www.semanticscholar.org/author/1500439590
Sarin Sok,"University of Puthisastra, Cambodia",Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,1128.0,10.0,10.0,https://scholar.google.com/citations?hl=en&user=FHZK_ncAAAAJ,0009-0000-0595-5998,found,58820111900.0,https://www.scopus.com/authid/detail.uri?authorId=58820111900,2211230885,Sarin Sok,6.0,485.0,12.0,2026-06-07,fixed,https://www.semanticscholar.org/author/2211230885
Chroeng Seyha,"ICT, University of Puthisastra",Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,599.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=NUhRK9oAAAAJ,0009-0002-6806-4775,found,,,,,,,,,skipped_low_hindex,
Sakirin Tam,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,457.0,8.0,6.0,https://scholar.google.com/citations?hl=en&user=xsYOJasAAAAJ,0000-0003-4103-1797,found,,,34679265,Sakirin Tam,4.0,134.0,9.0,2026-06-07,fixed,https://www.semanticscholar.org/author/34679265
PROM Vireak,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,456.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=KygNKC4AAAAJ,0000-0002-8871-9292,found,,,2366356090,Vireak Prom,2.0,320.0,6.0,,fixed,https://www.semanticscholar.org/author/2366356090
Rany Vorn,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,412.0,13.0,16.0,https://scholar.google.com/citations?hl=en&user=JD9kDp4AAAAJ,0000-0002-9158-9302,found,,,7161898,Rany Vorn,11.0,311.0,29.0,,fixed,https://www.semanticscholar.org/author/7161898
Saqib Noor,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,409.0,12.0,12.0,https://scholar.google.com/citations?hl=en&user=cYM4LLAAAAAJ,0009-0009-0890-2598,found,,,47018171,S. Noor,12.0,421.0,35.0,,fixed,https://www.semanticscholar.org/author/47018171
POL Sreymom,"University of Puthisastra, University of Oxford",Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,292.0,9.0,9.0,https://scholar.google.com/citations?hl=en&user=rlObPm0AAAAJ,0000-0001-8393-659X,found,,,37092174.0,Sreymom Pol,8.0,195.0,17.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/37092174.0
Virak Sorn,University of Puthisastra,Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,202.0,5.0,3.0,https://scholar.google.com/citations?hl=en&user=q09euYIAAAAJ,0000-0002-1075-3482,found,57210788576.0,https://www.scopus.com/authid/detail.uri?authorId=57210788576,2271084494,V. Sorn,5.0,156.0,24.0,,fixed,https://www.semanticscholar.org/author/2271084494
"Kong Sophannary, DDS, PhD","Lecturer, Faculty of Dentistry, Faculty of Pharmacy, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,153.0,4.0,3.0,https://scholar.google.com/citations?hl=en&user=fLu6fGsAAAAJ,0000-0002-4590-0200,found,57194446961.0,https://www.scopus.com/authid/detail.uri?authorId=57194446961,nan,,,,,,no_better_found,
Sela Kong,"University of Puthisastra, Cambodia",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,98.0,6.0,3.0,https://scholar.google.com/citations?hl=en&user=3E5b2mEAAAAJ,0000-0003-3204-9127,found,58283272600.0,https://www.scopus.com/authid/detail.uri?authorId=58283272600,2188027045,Sela Kong,4.0,33.0,11.0,2026-06-07,fixed,https://www.semanticscholar.org/author/2188027045
Chanvatanak LY,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,95.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=sfINRxsAAAAJ,0000-0003-1219-7763,found,,,2060999681,Chanvatanak Ly,1.0,5.0,3.0,,fixed,https://www.semanticscholar.org/author/2060999681
Romeo M Caringal,"Lecturer, Pediatrics, University of Puthisastra, Phnom Penh; Adjunct Prof, Asia-Pacific Nazarene TS",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,84.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=-cKCatUAAAAJ,0009-0008-2593-2206,found,,,2237660258.0,Romeo M. Caringal,1.0,72.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2237660258.0
Kalyan Kong,"Assistant Dean of Dentistry, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,77.0,3.0,3.0,https://scholar.google.com/citations?hl=en&user=cSBYdPMAAAAJ,0009-0006-2081-728X,found,,,15300228.0,K. Kong,3.0,51.0,5.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/15300228.0
Sokchan LORN,"Lecturer, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,73.0,4.0,4.0,https://scholar.google.com/citations?hl=en&user=8r9s9FgAAAAJ,0000-0001-5431-2673,found,,,151212646.0,Sokchan Lorn,3.0,34.0,7.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/151212646.0
Pea An,"UNIVERSITY OF PUTHISASTRA, Cambodia",Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,57.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=fvkBPv8AAAAJ,0000-0002-1194-7043,found,,,,,,,,,skipped_low_hindex,
Youhok Lim,Hebron Medical Center and University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,50.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=A2gLEpAAAAAJ,0000-0002-5009-686X,found,,,2254961772,Y. Lim,4.0,55.0,8.0,,fixed,https://www.semanticscholar.org/author/2254961772
PHA Channary,Unknown affiliation,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,48.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=_01T5xgAAAAJ,0000-0003-3817-6768,found,,,,,,,,,skipped_low_hindex,
CHEM Sokea,Unknown affiliation,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,40.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=Eivgy5YAAAAJ,0009-0000-6309-2473,found,,,2355220819.0,Chem Sokea,1.0,14.0,1.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2355220819.0
Seema Lal-Kumar,"Director of Clinical Services and Lecturer, University of Puthisastra",Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,39.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=rYuHKZYAAAAJ,0000-0003-0862-155X,found,,,2376914585.0,Seema Lal‐Kumar,1.0,1.0,1.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2376914585.0
"Dr. SO Visessakseth, M.Pharm, PhD","Lecturer at Faculty of Pharmacy, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,37.0,2.0,2.0,https://scholar.google.com/citations?hl=en&user=_6Fvf3UAAAAJ,0009-0000-7117-8808,found,,,nan,,,,,,no_better_found,
YIM  Sovannra,University of Puthisastra,Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,33.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=IJBzmZgAAAAJ,0009-0007-6568-7236,found,,,4380373,Yim Sovannra,2.0,18.0,2.0,,fixed,https://www.semanticscholar.org/author/4380373
CHHON Yanvary,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,32.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=OairS6gAAAAJ,0009-0004-1908-5080,found,,,11800106,Yanvary Chhon,2.0,23.0,6.0,,fixed,https://www.semanticscholar.org/author/11800106
Amarender Vadivelu,Visiting Senior Consultant Fortis Hospital Vadapalani Chennai India,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,31.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=_vQ3mQEAAAAJ,0000-0002-6966-7052,found,,,66367247.0,A. Vadivelu,2.0,11.0,6.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/66367247.0
HONG Samnang,Unknown affiliation,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,30.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=4RToCk8AAAAJ,0000-0003-1250-6757,found,,,2107299892.0,S. Chan,39.0,6842.0,473.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2107299892.0
Tun Sreypeov,University of Puthisastra,Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,27.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=KWvp26IAAAAJ,0009-0003-6498-4918,found,,,2400057418.0,T. Sreypeov,0.0,0.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2400057418.0
OUK Rim,Professor of General Doctor,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,27.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=QUKqifUAAAAJ,0009-0003-9387-120X,found,,,nan,,,,,,no_better_found,
Poul philip,Unknown affiliation,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,21.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=POOjOu8AAAAJ,0000-0002-4704-0179,found,7402902899.0,https://www.scopus.com/authid/detail.uri?authorId=7402902899,,,,,,,skipped_low_hindex,
SAY Sreypich,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,20.0,3.0,0.0,https://scholar.google.com/citations?hl=en&user=OPc6ot4AAAAJ,0009-0005-1405-2455,found,57211952347.0,https://www.scopus.com/authid/detail.uri?authorId=57211952347,90193822,Sreypich Say,2.0,9.0,7.0,,fixed,https://www.semanticscholar.org/author/90193822
Kit Thavy,"Fundamental Chemisrty, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,20.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=NMlpGMIAAAAJ,0009-0004-8791-0679,found,,,2175913600,Thavy Kit,2.0,12.0,2.0,,fixed,https://www.semanticscholar.org/author/2175913600
Andrea Burke Ryan,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,19.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=JNidkHAAAAAJ,0009-0004-8783-029X,found,,,51141747.0,A. Ryan,1.0,10.0,6.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/51141747.0
MEAS Sochanwattey,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,16.0,3.0,0.0,https://scholar.google.com/citations?hl=en&user=3iFT4wIAAAAJ,0000-0002-9324-9168,found,57210149080.0,https://www.scopus.com/authid/detail.uri?authorId=57210149080,1965929551,Sochanwattey Meas,3.0,13.0,3.0,,fixed,https://www.semanticscholar.org/author/1965929551
EAM Mao,Assistant Prof.,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,16.0,3.0,0.0,https://scholar.google.com/citations?hl=en&user=UXIMQ24AAAAJ,0009-0009-3527-9965,found,,,2303542975.0,Mao Eam,2.0,4.0,4.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2303542975.0
BE Sokkeang,Program Manager,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,15.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=hfAeBPIAAAAJ,0000-0001-7888-7914,found,,,2128833876.0,Sokkeang Be,1.0,13.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2128833876.0
Techly SAN,Assistant Professor | Program Coordinator of Dentistry | Researcher | University of Puthisastra (UP),Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,14.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=JLFYCRcAAAAJ,0000-0001-8110-823X,found,,,2400321653.0,San Techly,0.0,0.0,1.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2400321653.0
EAT Sokhoeun,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,13.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=4YDjYAEAAAAJ,0009-0002-3623-2260,found,,,2271089992.0,S. Eat,2.0,11.0,6.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2271089992.0
SUON Monirath,"Department of Nursing, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,13.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=Af7ll4YAAAAJ,0009-0001-1329-3856,found,,,2271086746.0,Monirath Suon,1.0,3.0,3.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2271086746.0
PHAN Samnang,Doctor,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,12.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=HRZ1G8YAAAAJ,0000-0003-1250-6757,found,,,nan,,,,,,no_better_found,
Vannary YI,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,11.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=1Uv5ZaoAAAAJ,0009-0001-6167-1073,found,,,2366357666.0,Vannary Yi,1.0,4.0,6.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2366357666.0
CHANTHONG YORN,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,10.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=LrjvXLsAAAAJ,0009-0000-6792-5700,found,,,2291064768.0,Chanthong Yorn,1.0,10.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2291064768.0
NOY PISEY,"Pediatrician, Khmer-Soviet Friendship Hospital",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,9.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=1SZQOJgAAAAJ,0000-0002-9907-766X,found,,,2053706425.0,P. Noy,1.0,5.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2053706425.0
Sokly Mom,Epidemiologist,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,8.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=qasa79gAAAAJ,0000-0003-3279-1479,found,,,2323555209.0,Sokly Mom,1.0,7.0,5.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2323555209.0
THIM  Pichthida,"Faculty of Medicine, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,8.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=Yca9Y2IAAAAJ,0000-0002-7539-4150,found,,,151175951.0,P. Thim,1.0,1.0,5.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/151175951.0
CHEAB Sambath,University of Puthisastra,Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,8.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=e11RAvsAAAAJ,0009-0000-4317-1449,found,,,2291865735.0,Sambath Cheab,1.0,4.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2291865735.0
Chhea Sophearom,"Faculty of Pharmacy, University of Puthisastra",Verified email at puthisastra.edu.kh,puthisastra.edu.kh,7.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=OUsCQ2wAAAAJ,0009-0001-6002-0420,found,,,2097723371.0,Sophearom Chhea,0.0,0.0,3.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2097723371.0
Sok Sanith,Lecturer,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,5.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=AzL6iM0AAAAJ,0000-0003-4272-3162,found,,,,,,,,,skipped_low_hindex,
Kem Sokunthea,Deputy Dean of Nursing Department,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,3.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=HZ3eJaAAAAAJ,0009-0002-3906-5031,found,,,2400055904.0,K. Sokunthea,0.0,0.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2400055904.0
Rotha KOL,University of Puthisastra,Verified email at puthisastra.edu.kh,puthisastra.edu.kh,3.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=Q1x4AvoAAAAJ,0009-0002-5234-6380,found,,,,,,,,,skipped_low_hindex,
Tricia J. Hester,University of Puthisastra,Verified email at puthisastra.edu.kh - Homepage,puthisastra.edu.kh,2.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=cvBmMi0AAAAJ,0009-0003-7250-5745,found,,,,,,,,,skipped_low_hindex,
